"name","dens","count","rank","ID"
"face with tears of joy",12,587,2,1
"smiling face with heart-shaped eyes",3.9,191,7,2
"loudly crying face",2.4,120,12,3
"smiling face with sunglasses",1.5,75,14,4
"grinning face with smiling eyes",1.4,69,18,5
"flushed face",1.1,55,23,6
"winking face",1.1,53,24,7
"unamused face",1,51,25,8
"face screaming in fear",1,51,26,9
"weary face",0.9,46,29,10
"face with stuck-out tongue and winking eye",0.8,38,34,11
"smiling face with open mouth and smiling eyes",0.7,36,35,12
"smiling face with smiling eyes",0.7,36,36,13
"smiling face with open mouth and tightly-closed eyes",0.7,35,37,14
"grimacing face",0.7,35,38,15
"smiling face with open mouth",0.6,31,41,16
"smiling face with open mouth and cold sweat",0.6,31,42,17
"face with open mouth",0.6,30,44,18
"sleeping face",0.6,30,45,19
"crying face",0.5,26,48,20
"grinning face",0.5,24,54,21
"smirking face",0.4,22,55,22
"face savouring delicious food",0.4,21,58,23
"dog face",0.4,20,59,24
"face throwing a kiss",0.4,19,61,25
"pouting face",0.4,19,62,26
"astonished face",0.3,17,69,27
"expressionless face",0.3,17,71,28
"pensive face",0.3,16,72,29
"face with look of triumph",0.3,14,74,30
"white smiling face",0.3,14,75,31
"face with stuck-out tongue and tightly-closed eyes",0.2,12,83,32
"hushed face",0.2,12,89,33
"face with medical mask",0.2,11,90,34
"neutral face",0.2,11,94,35
"persevering face",0.2,9,98,36
"tired face",0.2,9,99,37
"smiling face with horns",0.2,9,104,38
"face with stuck-out tongue",0.2,9,105,39
"disappointed but relieved face",0.1,7,114,40
"confused face",0.1,7,124,41
"relieved face",0.1,6,125,42
"smiling face with halo",0.1,6,133,43
"face with cold sweat",0.1,5,134,44
"confounded face",0.1,5,135,45
"disappointed face",0.1,5,136,46
"face with open mouth and cold sweat",0.1,5,137,47
"angry face",0.1,4,146,48
"sleepy face",0.1,4,147,49
"cat face with tears of joy",0.1,4,148,50
"smiling cat face with heart-shaped eyes",0.1,4,149,51
"worried face",0.1,4,165,52
"new moon with face",0.1,4,166,53
"dizzy face",0.1,3,167,54
"rabbit face",0.1,3,176,55
"bear face",0.1,3,177,56
"anguished face",0.1,3,184,57
"face without mouth",0.1,3,185,58
"smiling cat face with open mouth",0,2,186,59
"weary cat face",0,2,187,60
"face with no good gesture",0,2,188,61
"face with ok gesture",0,2,189,62
"tiger face",0,2,221,63
"horse face",0,2,222,64
"kissing face with smiling eyes",0,2,235,65
